"inventory_id","part_num","color_id","quantity"
52,"4083",1,2
52,"4083",7,1
52,"4085b",15,4
52,"4175",7,1
52,"4212b",4,1
52,"4213",4,1
52,"4214",4,1
52,"4345a",15,1
52,"4346",15,1
52,"4347",7,2
52,"4477",7,1
52,"4477",14,4
52,"4485",1,1
52,"4522",0,1
52,"4530",0,1
52,"4590",0,2
52,"4599a",4,1
52,"4600",0,2
52,"4624",7,7
52,"4629c01",1,1
52,"4859",15,2
52,"6141",0,6
52,"6141",15,4
52,"6141",4,2
52,"6141",46,2
52,"73194c01",0,1
52,"73590c01a",0,1
52,"970c00",1,2
52,"973p60c01",15,1
52,"973pb0201c01",15,1
54,"2412b",0,2
54,"2460",14,1
54,"2479",1,1
54,"30000",8,2
54,"3001",1,1
54,"3001",15,1
54,"3003",15,2
54,"3003",14,2
54,"3003",1,2
54,"3003",4,2
54,"3004",15,4
54,"3004",1,4
54,"3004",14,4
54,"3004",4,2
54,"3005",1,6
54,"3005",4,4
54,"3005",15,6
54,"3005",14,6
54,"3005pe1",4,2
54,"3010",14,2
54,"3010",1,4
54,"3010",4,2
54,"3010",15,4
54,"3020",4,2
54,"3030",4,1
54,"3034",4,2
54,"3039",47,1
54,"3039",1,2
54,"3062b",15,8
54,"3297",1,2
54,"3298",1,4
54,"3298p11",1,2
54,"3483",0,4
54,"3622",1,2
54,"3626bp05",14,1
54,"3633",14,2
54,"3660",1,2
54,"3710",4,2
54,"3741",2,1
54,"3742",4,1
54,"3742",4,3
54,"3829c01",14,1
54,"3865",2,1
54,"3957a",14,1
54,"4070",1,2
54,"4286",1,2
54,"4287a",1,2
54,"4485",15,1
54,"6248",4,4
54,"970c00",7,1
54,"973px28c01",15,1
55,"3626apr0001",14,4
55,"3838",14,1
55,"3838",15,2
55,"3838",4,1
55,"3842a",14,1
55,"3842a",4,1
55,"3842a",15,2
55,"3959",7,1
55,"4349",0,1
55,"4360",7,1
55,"4479",0,1
55,"970c00",15,2
55,"970c00",14,1
55,"970c00",4,1
55,"973p90c04",14,1
55,"973p90c05",15,2
55,"973p90c68",4,1
58,"10201",71,2
58,"10247",72,10
58,"10247",71,2
58,"10928",72,2
58,"11153",71,8
58,"11153",320,4
58,"11203",19,2
58,"11211",19,2
58,"11211",71,8
58,"11212",72,2
58,"11212",71,6
58,"11214",72,4
58,"11215",71,3
58,"11290",71,4
58,"11458",72,6
58,"11477",72,4
58,"11477",288,1
58,"11477",71,21
58,"11610",0,4
58,"11833",71,2
