"id","creation_date","question_id","score"
36183226,2016-03-23,36182456,1
36183232,2016-03-23,36182557,3
36183239,2016-03-23,36166342,0
36183318,2016-03-23,36182998,0
36183348,2016-03-23,36138361,1
36183445,2016-03-23,36181970,1
36183526,2016-03-23,24057153,0
36183528,2016-03-23,36183356,2
36183563,2016-03-23,36183288,3
36183684,2016-03-23,36183268,0
36183687,2016-03-23,36183356,3
36183859,2016-03-23,36183601,3
36184023,2016-03-23,36182994,1
36184222,2016-03-23,36182535,15
36184250,2016-03-23,36184188,1
36184253,2016-03-23,36183409,1
36184350,2016-03-23,6147299,0
36184445,2016-03-23,35949087,1
36184513,2016-03-23,36184168,1
36184559,2016-03-23,36184188,1
36184717,2016-03-23,36184282,0
36184754,2016-03-23,36059262,1
36184834,2016-03-23,36184508,0
36184893,2016-03-23,10526005,9
36184895,2016-03-23,36184568,1
36184941,2016-03-23,36182942,0
36185013,2016-03-23,36184659,1
36185137,2016-03-23,36184508,1
36185210,2016-03-23,22803310,1
36185230,2016-03-23,36184659,0
36185239,2016-03-23,36184977,8
36185325,2016-03-23,19658637,0
36185366,2016-03-23,36184659,1
36185597,2016-03-23,36185456,15
36185765,2016-03-23,30023872,1
36185799,2016-03-23,36184568,2
36185861,2016-03-23,36185748,4
36185937,2016-03-23,32752674,1
36185961,2016-03-23,21451664,10
36186083,2016-03-23,36183409,0
36186098,2016-03-23,36185874,1
36186180,2016-03-23,36186011,2
36186440,2016-03-23,36186178,3
36186636,2016-03-23,36162669,-1
36186705,2016-03-23,36065327,3
36186896,2016-03-23,36115215,1
36186930,2016-03-23,36162188,2
36186956,2016-03-23,36185576,0
36186979,2016-03-23,36186810,0
36187149,2016-03-23,36185735,0
36187183,2016-03-23,36182456,0
36187244,2016-03-23,36187103,2
36187247,2016-03-23,36186546,1
36187275,2016-03-23,36184659,0
36187339,2016-03-23,36187074,0
36187548,2016-03-23,36187074,1
36187657,2016-03-23,36117444,1
36187854,2016-03-23,36187001,0
36187860,2016-03-23,36187455,0
36187923,2016-03-23,36187586,4
36187973,2016-03-23,36187905,2
36187977,2016-03-23,36065327,4
36188049,2016-03-23,36090148,0
36188082,2016-03-23,23970707,2
36188114,2016-03-23,36187586,0
36188146,2016-03-23,36187931,0
36188231,2016-03-23,36187586,3
36188525,2016-03-23,36186561,0
36188611,2016-03-23,36165926,1
36188668,2016-03-23,36188608,0
36188697,2016-03-23,36187741,0
36188799,2016-03-23,36188598,2
36188820,2016-03-23,36188769,1
36188856,2016-03-23,36181029,1
36188922,2016-03-23,25300094,0
36189292,2016-03-23,36188846,2
36189301,2016-03-23,36188846,1
36189352,2016-03-23,36187931,4
36189586,2016-03-23,36187599,1
36189629,2016-03-23,36189318,2
36189657,2016-03-23,36188877,1
36189688,2016-03-23,36189475,0
36189895,2016-03-23,36189464,0
36190035,2016-03-23,36189967,4
36190042,2016-03-23,34054968,3
36190147,2016-03-23,36185955,0
36190244,2016-03-23,36181361,6
36190449,2016-03-23,36190349,2
36190475,2016-03-23,29388334,23
36190501,2016-03-23,35965433,5
36190547,2016-03-23,36190009,1
36190577,2016-03-23,36190503,12
36190616,2016-03-23,36190349,1
36190773,2016-03-23,36190486,1
36190844,2016-03-23,36190342,0
36190865,2016-03-23,36180954,0
36190907,2016-03-23,36188276,2
36190927,2016-03-23,36190477,1
36190982,2016-03-23,36190477,0
36190988,2016-03-23,36190921,2
36191019,2016-03-24,36190334,1
36191095,2016-03-24,36189709,0
36191113,2016-03-24,36189967,4
36191204,2016-03-24,21542556,1
36191245,2016-03-24,36144816,0
36191298,2016-03-24,36190944,3
36191375,2016-03-24,36167800,2
36191406,2016-03-24,36191260,0
36191409,2016-03-24,36191260,2
36191502,2016-03-24,36183249,2
36191544,2016-03-24,36191260,1
36191602,2016-03-24,36175295,1
36191640,2016-03-24,36190439,0
36191876,2016-03-24,36191389,0
36191993,2016-03-24,22667745,0
36192243,2016-03-24,36192195,0
36192244,2016-03-24,36192195,0
36192291,2016-03-24,36191297,1
36192294,2016-03-24,36187103,2
36192490,2016-03-24,36192462,1
36192501,2016-03-24,36192437,0
36192502,2016-03-24,36192437,1
36192526,2016-03-24,36188477,0
36192655,2016-03-24,36192540,5
36192752,2016-03-24,36192553,0
36192753,2016-03-24,36191297,1
36192876,2016-03-24,36190439,1
36193184,2016-03-24,36193071,2
36193209,2016-03-24,36193071,2
36193226,2016-03-24,36193071,6
36193252,2016-03-24,36191631,1
36193278,2016-03-24,36188929,2
36193449,2016-03-24,36174001,0
36193665,2016-03-24,31435273,0
36194501,2016-03-24,36192312,1
36194632,2016-03-24,36194631,0
36194658,2016-03-24,36192553,2
36194843,2016-03-24,36194600,1
36194961,2016-03-24,15162741,0
36195810,2016-03-24,36190439,2
36196071,2016-03-24,36195588,0
36196080,2016-03-24,36182200,0
36196340,2016-03-24,36195588,2
36196354,2016-03-24,36193276,6
36196635,2016-03-24,36196491,2
36196772,2016-03-24,36196124,1
36197301,2016-03-24,36196880,0
36197461,2016-03-24,36197360,3
36197578,2016-03-24,36197018,6
36197615,2016-03-24,36197018,10
36197720,2016-03-24,36197018,6
36197791,2016-03-24,36175691,0
36198092,2016-03-24,36196491,4
36198161,2016-03-24,7896909,2
36198587,2016-03-24,36198451,37
36198650,2016-03-24,36198373,2
36198754,2016-03-24,36197627,2
36198804,2016-03-24,18785749,0
36198840,2016-03-24,36198695,0
36198887,2016-03-24,36198695,3
36198984,2016-03-24,36198877,0
36199031,2016-03-24,36198374,2
36199046,2016-03-24,36198891,2
36199074,2016-03-24,17421776,8
36199114,2016-03-24,36198695,1
36199164,2016-03-24,36198513,0
36199223,2016-03-24,35631199,1
36199570,2016-03-24,36196200,0
36199585,2016-03-24,36198485,1
36199591,2016-03-24,36199534,4
36199602,2016-03-24,15363076,0
36199609,2016-03-24,36199583,3
36199676,2016-03-24,36150184,3
36199692,2016-03-24,36199583,2
36199924,2016-03-24,36199636,4
36199978,2016-03-24,36197513,0
36199979,2016-03-24,36198513,5
36199999,2016-03-24,34710310,0
36200309,2016-03-24,11617411,3
36200914,2016-03-24,36198507,2
36200945,2016-03-24,9961209,1
36201335,2016-03-24,36198373,1
36201344,2016-03-24,36188998,1
36201463,2016-03-24,11478660,2
36201509,2016-03-24,36158054,0
36201554,2016-03-24,36088238,1
36201562,2016-03-24,36199492,0
36201789,2016-03-24,36200785,3
36202230,2016-03-24,36187074,0
36202565,2016-03-24,30757534,1
36202616,2016-03-24,36200245,1
36202681,2016-03-24,36202680,1
36202891,2016-03-24,36202653,1
36203072,2016-03-24,35659559,1
