id,creation_date,score
31238654,7/6/2015,2
31238882,7/6/2015,4
31239020,7/6/2015,0
31239285,7/6/2015,0
31239429,7/6/2015,0
31239683,7/6/2015,0
31240278,7/6/2015,3
31240300,7/6/2015,1
31240696,7/6/2015,0
31240872,7/6/2015,1
31241168,7/6/2015,1
31241285,7/6/2015,1
31241914,7/6/2015,0
31241942,7/6/2015,1
31242542,7/6/2015,0
31242629,7/6/2015,2
31242671,7/6/2015,1
31242869,7/6/2015,0
31242965,7/6/2015,1
31242988,7/6/2015,1
31243001,7/6/2015,1
31243192,7/6/2015,0
31244431,7/6/2015,2
31244542,7/6/2015,0
31244688,7/6/2015,2
31244765,7/6/2015,2
31244833,7/6/2015,0
31244921,7/6/2015,1
31245105,7/6/2015,1
31245168,7/6/2015,-1
31245193,7/6/2015,0
31245599,7/6/2015,1
31245767,7/6/2015,1
31245836,7/6/2015,0
31245883,7/6/2015,1
31246008,7/6/2015,5
31246211,7/6/2015,2
31246498,7/6/2015,2
31246742,7/6/2015,2
31246789,7/6/2015,3
31247156,7/6/2015,1
31247620,7/6/2015,0
31247757,7/6/2015,2
31247843,7/6/2015,1
31247862,7/6/2015,0
31247876,7/6/2015,1
31248364,7/6/2015,-1
31248601,7/6/2015,0
31248776,7/6/2015,-1
31249333,7/6/2015,1
31249360,7/6/2015,0
31249489,7/6/2015,3
31249573,7/6/2015,-3
31249842,7/6/2015,2
31249970,7/6/2015,0
31249980,7/6/2015,26
31250098,7/6/2015,3
31250233,7/6/2015,0
31250387,7/6/2015,0
31250562,7/6/2015,1
31250587,7/6/2015,5
31250893,7/6/2015,0
31250999,7/6/2015,13
31251081,7/6/2015,0
31251156,7/6/2015,1
31251160,7/6/2015,2
31251447,7/6/2015,2
31251542,7/6/2015,0
31251544,7/6/2015,2
31251545,7/6/2015,1
31251584,7/6/2015,0
31251753,7/6/2015,2
31251786,7/6/2015,0
31251872,7/6/2015,0
31251923,7/6/2015,-2
31251945,7/6/2015,0
31252058,7/6/2015,0
31252102,7/6/2015,9
31252130,7/6/2015,0
31252150,7/6/2015,1
31252190,7/6/2015,1
31252264,7/6/2015,2
31252409,7/6/2015,-2
31252520,7/6/2015,0
31252529,7/6/2015,-3
31252594,7/6/2015,0
31252742,7/6/2015,-1
31253018,7/6/2015,1
31253029,7/6/2015,0
31253069,7/6/2015,1
31253083,7/6/2015,0
31253170,7/6/2015,1
31253215,7/6/2015,9
31253236,7/6/2015,1
31253351,7/6/2015,2
31253368,7/6/2015,0
31253384,7/6/2015,0
31253421,7/6/2015,2
31253507,7/6/2015,2
31253625,7/6/2015,3
31253751,7/6/2015,0
31253810,7/6/2015,0
31253815,7/6/2015,4
31253966,7/6/2015,0
31254355,7/6/2015,0
31254414,7/6/2015,2
31254454,7/6/2015,0
31254476,7/6/2015,4
31254533,7/6/2015,12
31254647,7/6/2015,6
31254755,7/6/2015,1
31254815,7/6/2015,0
31255107,7/6/2015,1
31255284,7/6/2015,1
31255408,7/6/2015,2
31255426,7/6/2015,6
31255434,7/6/2015,-1
31255586,7/6/2015,0
31255894,7/6/2015,15
31255976,7/6/2015,2
31256258,7/6/2015,0
31256263,7/6/2015,0
31256273,7/6/2015,3
31256276,7/6/2015,0
31256369,7/6/2015,-1
31256417,7/6/2015,1
31256462,7/6/2015,4
31256470,7/6/2015,0
31256512,7/6/2015,0
31256516,7/6/2015,3
31256528,7/6/2015,0
31256638,7/6/2015,1
31256697,7/6/2015,0
31257777,7/6/2015,0
31256769,7/6/2015,-1
31256830,7/6/2015,1
31257019,7/6/2015,1
31257168,7/6/2015,2
31257334,7/6/2015,1
31257351,7/6/2015,0
31257363,7/6/2015,0
31257442,7/6/2015,4
31257487,7/6/2015,-2
31257671,7/7/2015,1
31257748,7/7/2015,-3
31257788,7/7/2015,0
31257858,7/7/2015,0
31258032,7/7/2015,0
31258101,7/7/2015,2
31258303,7/7/2015,3
31258547,7/7/2015,23
31258616,7/7/2015,0
31258617,7/7/2015,1
31258889,7/7/2015,0
31258940,7/7/2015,2
31259518,7/7/2015,6
31259619,7/7/2015,5
31259656,7/7/2015,1
31259932,7/7/2015,7
31259941,7/7/2015,3
31260156,7/7/2015,1
31260555,7/7/2015,1
31260633,7/7/2015,1
31261027,7/7/2015,2
31261266,7/7/2015,0
31261783,7/7/2015,1
31261881,7/7/2015,1
31261946,7/7/2015,5
31262194,7/7/2015,-1
31262362,7/7/2015,2
31262707,7/7/2015,3
31262732,7/7/2015,1
31263535,7/7/2015,5
31263707,7/7/2015,1
31263728,7/7/2015,0
31263827,7/7/2015,0
31263938,7/7/2015,0
31263972,7/7/2015,1
31264225,7/7/2015,1
31264343,7/7/2015,7
31264390,7/7/2015,0
31264454,7/7/2015,1
31264530,7/7/2015,1
31265268,7/7/2015,2
31265290,7/7/2015,-2
31265350,7/7/2015,2
31265549,7/7/2015,5
31265644,7/7/2015,1
31265743,7/7/2015,2
31265808,7/7/2015,0
31265869,7/7/2015,1
31265934,7/7/2015,1
31266020,7/7/2015,0
31266289,7/7/2015,2
31266472,7/7/2015,4
31266528,7/7/2015,2
31266922,7/7/2015,1
31267035,7/7/2015,1
31267208,7/7/2015,2
31267289,7/7/2015,2
31267407,7/7/2015,1
31267733,7/7/2015,1
31267928,7/7/2015,2
31267935,7/7/2015,2
31268120,7/7/2015,1
31268493,7/7/2015,2
31268518,7/7/2015,0
31268534,7/7/2015,2
31268581,7/7/2015,0
31268744,7/7/2015,0
31268787,7/7/2015,0
31268826,7/7/2015,2
31268842,7/7/2015,1
31269112,7/7/2015,0
31269269,7/7/2015,1
31269351,7/7/2015,2
31269424,7/7/2015,2
31269500,7/7/2015,1
31269742,7/7/2015,-3
31270126,7/7/2015,2
31270184,7/7/2015,0
31270246,7/7/2015,3
31270312,7/7/2015,4
31270341,7/7/2015,0
31270638,7/7/2015,0
31270840,7/7/2015,1
31271021,7/7/2015,0
31271057,7/7/2015,0
31271083,7/7/2015,2
31271181,7/7/2015,3
31271282,7/7/2015,2
31271406,7/7/2015,7
31271693,7/7/2015,5
31272137,7/7/2015,1
31272169,7/7/2015,2
31272192,7/7/2015,4
31272280,7/7/2015,8
31272346,7/7/2015,0
31272379,7/7/2015,9
31272491,7/7/2015,0
31272518,7/7/2015,0
31272695,7/7/2015,2
31272710,7/7/2015,1
31272719,7/7/2015,0
31273276,7/7/2015,1
31273931,7/7/2015,1
31273969,7/7/2015,-1
31274042,7/7/2015,0
31274222,7/7/2015,0
31274267,7/7/2015,1
31274393,7/7/2015,0
31274536,7/7/2015,1
31274708,7/7/2015,-2
31275019,7/7/2015,0
31275054,7/7/2015,1
31275088,7/7/2015,0
31275177,7/7/2015,-2
31275289,7/7/2015,-1
31275560,7/7/2015,1
31275664,7/7/2015,0
31275901,7/7/2015,3
31276157,7/7/2015,3
31276183,7/7/2015,0
31276275,7/7/2015,1
31276412,7/7/2015,3
31276490,7/7/2015,3
31276612,7/7/2015,1
31276988,7/7/2015,0
31277047,7/7/2015,2
31277247,7/7/2015,0
31277315,7/7/2015,3
31277394,7/7/2015,0
31277426,7/7/2015,2
31277489,7/7/2015,-2
